Name,ISBN13,Type of Book,Series,Author,Illustrator,Tag 1,Tag 2,Age Group,Author 2,Author 3,Publication,Most Borrowed,Amazon Best Seller,Tag 3
Peter Rabbit Touch and Feel,9780723255789,Touch & Feel Books,Peter Rabbit,Beatrix Potter,,Animals,,0-2 Years,,,Penguin Books Ltd,,,
Peter Rabbit: Tickle Tickle Peter!,9780723267201,Touch & Feel Books,Peter Rabbit,Beatrix Potter,,Animals,,0-2 Years,,,Penguin Books Ltd,,,
Baa Baa Black Sheep : Amazing Baby,9781904513766,Touch & Feel Books,,Bianca Lucas,,Animals,,0-2 Years,Emma Dodd,,Templar Publishing,,,
This Little Angel: Ladybird Touch and Feel,9781409311348,Touch & Feel Books,,Emily Bolam,,Princess and Fairies,,0-2 Years,,,Penguin Books Ltd,,,
That's not my bear...,9780746051597,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Animals,,0-2 Years,,,Usborne Publishing Ltd,,,
That's not my car...,9780746056622,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Vehicles,,0-2 Years,,,Usborne Publishing Ltd,,,
That's Not My Dolly,9780746056615,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Toys and Dolls,,0-2 Years,,,Usborne Publishing Ltd,,,
That's not my fairy...,9780746062609,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Princess and Fairies,,0-2 Years,,,Usborne Publishing Ltd,,,
That's not my kitten...,9780746071489,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Animals,,0-2 Years,,,Usborne Publishing Ltd,,,
That's not my lamb...,9781409562467,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Animals,,0-2 Years,,,Usborne Publishing Ltd,,,
That's not my llama...,9781474921640,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Animals,,0-2 Years,,,Usborne Publishing Ltd,,,
That's not my panda...,9781409549833,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Animals,,0-2 Years,,,Usborne Publishing Ltd,,,
That's not my piglet...,9781409570523,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Animals,,0-2 Years,,,Usborne Publishing Ltd,,,
That's not my prince...,9781409566557,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Princess and Fairies,,0-2 Years,,,Usborne Publishing Ltd,,,
That's not my princess...,9780746073681,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Princess and Fairies,,0-2 Years,,,Usborne Publishing Ltd,,,
That's Not My Snowman,9780746075401,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Festivals,,0-2 Years,,,Usborne Publishing Ltd,,,
That's Not My Teddy...,9780794520267,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Animals,,0-2 Years,,,Usborne Publishing Ltd,,,
That's not my train...,9780746093467,Touch & Feel Books,That's not my,Fiona Watt,Rachel Wells,Vehicles,,0-2 Years,,,Usborne Publishing Ltd,,,
Baby's Very First Touchy-Feely Animals,9781409522959,Touch & Feel Books,,Fiona Watt,Stella Baggott,Animals,Early Learning,0-2 Years,,,Usborne Publishing Ltd,,,
Christmas Eve,9780746077313,Touch & Feel Books,,Fiona Watt,Rachel Wells,Animals,Festivals,0-2 Years,,,Usborne Publishing Ltd,,,
Touchy-Feely Kittens,9781409548829,Touch & Feel Books,,Fiona Watt,Rachel Wells,Animals,,0-2 Years,,,Usborne Publishing Ltd,,,
This Little Bunny: Ladybird Touch and Feel,9781409311362,Touch & Feel Books,,Lucy Lyes,,Animals,,0-2 Years,,,Penguin Books Ltd,,,
This Little Pirate: Ladybird Touch and Feel,9781409308416,Touch & Feel Books,,Lucy Lyes,,Superheroes and Pirates,,0-2 Years,,,Penguin Books Ltd,,,
Touchy Feely Tales - Little Red Riding Hood : Little Red Riding Hood,9781909090132,Touch & Feel Books,,Philip Dauncey,Emma Surry,Animals,Princess and Fairies,0-2 Years,,,Really Decent Books,,,Cartoons
Buster's Zoo,9780230741690,Touch & Feel Books,,Rod Campbell,,Farms and Zoo,,0-2 Years,,,MacMillan,,,
I Won't Bite!,9780230747883,Touch & Feel Books,,Rod Campbell,,Animals,,0-2 Years,,,MacMillan,,,
Baby Animals : ABC Touch & Feel Books,9781849158473,Touch & Feel Books,,Roger Priddy,,Animals,,0-2 Years,,,Priddy Books,,,
Never Touch A Spider!,9781788432795,Touch & Feel Books,,Rosie Greening,,Animals,,0-2 Years,,,Make Believe Ideas,,,
"Baby, It's You",9781849417297,Touch & Feel Books,,Ruth Redford,Amy-Lou Sharpe,,,0-2 Years,,,Penguin Books Ltd,,,
Thomas and Friends Touch and Feel Book,9781405247641,Touch & Feel Books,Thomas & Friends,,,Vehicles,,0-2 Years,,,Egmont UK Ltd,,,
Bear,9780857346995,Touch & Feel Books,,,,Vehicles,,0-2 Years,,,Bonnier Books Ltd,,,
Fairy,9780857342003,Touch & Feel Books,,,,Princess and Fairies,,0-2 Years,,,Bonnier Books Ltd,,,
First Words,9781781972878,Touch & Feel Books,,,,Phonics and Words,,0-2 Years,,,Bonnier Books Ltd,,,
I Love My Mummy - Cuddly Monkey,9781783432615,Touch & Feel Books,,,,Animals,Mom and Dad,0-2 Years,,,Bonnier Books Ltd,,,
Little Bunny: Are You My Mummy?,9781845616779,Touch & Feel Books,,,,Animals,Mom and Dad,0-2 Years,,,Bonnier Books Ltd,,,
Little Polar Bear: Are You My Mummy?,9781845616762,Touch & Feel Books,,,,Animals,Mom and Dad,0-2 Years,,,Bonnier Books Ltd,,,
This Little Fairy: Ladybird Touch and Feel,9781409308386,Touch & Feel Books,,,,Princess and Fairies,,0-2 Years,,,Penguin Books Ltd,,,
Get Freddie Ready for the Monster Ball,9781910851227,Flip Books,,Adam Bestwick,Claire Evans,Dinosaurs and Dragons,,3-5 Years,,,Fourth Wall Publishing,,,
Busy Santa,9781447285465,Flip Books,,Ag Jatkowska,,Festivals,,0-2 Years,,,MacMillan,,,
Little Grey Rabbit's Noisy Night,9781848772656,Flip Books,,Alice Corrie,,Animals,,3-5 Years,,,Templar Publishing,,,
Ladybird lift-the-flap book: Busy Building Site,9781409308577,Flip Books,,Amanda Archer,,Vehicles,Construction,3-5 Years,,,Penguin Books Ltd,,,
Peep Inside a Tree,9781474933841,Flip Books,,Anna Milbourne,Simona Dimitri,Animals,,0-5 Years,,,Usborne Publishing Ltd,,,
Peep Inside Dinosaurs,9781409582038,Flip Books,,Anna Milbourne,Simona Dimitri,Dinosaurs and Dragons,,0-5 Years,,,Usborne Publishing Ltd,,,
Peep Inside the Castle,9781409582052,Flip Books,,Anna Milbourne,Felicita Sala,Kings and Queens,,0-5 Years,,,Usborne Publishing Ltd,,,
Peep Inside The Garden,9781409572138,Flip Books,,Anna Milbourne,Simona Dimitri,Animals,,0-5 Years,,,Usborne Publishing Ltd,,,
Googly Eyes : Chico Plays Hide and Seek,9781843222804,Flip Books,,Ben Adams,Craig Cameron,Animals,,0-5 Years,,,Anness Publishing,,,
Dinosaurs,9781509832637,Flip Books,,Campbell Books,Chorkung,Animals,Dinosaurs and Dragons,0-5 Years,,,MacMillan,,,
My Magical Unicorn,9781509892419,Flip Books,,Campbell Books,Yujin Shin,Princess and Fairies,,0-2 Years,,,MacMillan,,,
"Zo-zo Leaves His Hole : A Pull-tab, Lift the Flap Story",9781857074291,Flip Books,,David Clement-Davies,Tracey English,Animals,,0-5 Years,,,TANGO BOOKS,,,
Ten Friendly Fish,9781845065560,Flip Books,,Debbie Tarbett,,Early Learning,Animals,0-5 Years,,,Little Tiger Press Group,,,
Pop-Up Peekaboo! Playtime,9781405362870,Flip Books,,DK,,Toys and Dolls,,0-2 Years,,,Dorling Kindersley Ltd,,,
Messy Fingers,9780230713109,Flip Books,,Emma Dodd,,Good Habits,,0-2 Years,,,MacMillan,,,
"Spot: Happy Christmas, Spot!",9780241206133,Flip Books,Spot,Eric Hill,,Animals,Festivals,0-2 Years,,,Penguin Books Ltd,,,
Spot's Busy Days,9780723263197,Flip Books,Spot,Eric Hill,,Animals,,0-2 Years,,,Penguin Books Ltd,,,
Spot's Fun Week,9780723263272,Flip Books,Spot,Eric Hill,,Animals,,0-2 Years,,,Penguin Books Ltd,,,
Spot's Lift-the-Flap Peekaboo,9780723295914,Flip Books,Spot,Eric Hill,,Animals,,0-2 Years,,,Penguin Books Ltd,,,
Thomas & Friends: The Runaway Engine Pop-Up,9781405297851,Flip Books,Thomas & Friends,Farshore,Dan Crisp,Vehicles,,3-5 Years,,,HarperCollins Publishers,,,
Ladybird Skullabones Island: All Aboard the Pirate Ship!,9781409311744,Flip Books,,Fiona Munro,Sharon Harmer,Vehicles,Superheroes and Pirates,3-5 Years,,,Penguin Books Ltd,,,
Baby's Very First Slide and See Farm,9781409581277,Flip Books,,Fiona Watt,Stella Baggott,Animals,Farms and Zoo,0-2 Years,,,Usborne Publishing Ltd,,,
Pop-up Jungle,9781409550310,Flip Books,,Fiona Watt,Alessandra Psacharopulo,Animals,Farms and Zoo,3-5 Years,,,Usborne Publishing Ltd,,,
Muddle and Match for Girls,9781849588522,Flip Books,,Holly Brook-Piper,,Animals,,3-5 Years,,,Autumn Publishing Ltd,,,
The Christmas Bear,9781405053105,Flip Books,,Ian Whybrow,Axel Scheffler,Animals,Festivals,3-5 Years,,,MacMillan,,,
The Tickle Book,9781509806973,Flip Books,,Ian Whybrow,Axel Scheffler,Animals,Vehicles,3-5 Years,,,MacMillan,,,
123,9781785573231,Flip Books,,Igloo Books,,Early Learning,,0-2 Years,,,Bonnier Books Ltd,,,
ABC,9781785573248,Flip Books,,Igloo Books,,Early Learning,,0-2 Years,,,Bonnier Books Ltd,,,
Humphrey's 123,9781784402785,Flip Books,,Igloo Books,,Animals,Early Learning,0-2 Years,,,Bonnier Books Ltd,,,
The Very Clever Crocodile,9781845063023,Flip Books,,Jack Tickle,,Animals,,3-5 Years,,,Little Tiger Press Group,,,
Pull the lever : Who are you?,9781861473912,Flip Books,,Jane Wolfe,The Toy Box,Animals,,0-2 Years,,,Anness Publishing,,,
Poppy and Sam's Animal Hide-and-Seek,9780746055755,Flip Books,,Jenny Tyler,Stephen Cartwright,Animals,,0-5 Years,,,Usborne Publishing Ltd,,,
Lift-the-flap Friends Pirates,9781408864050,Flip Books,,Joelle Dreidemy,,Superheroes and Pirates,,3-5 Years,,,Bloomsbury Publishing PLC,,,
Hide-and-Seek Pig,9781447273431,Flip Books,Tales From Acorn Wood,Julia Donaldson,Axel Scheffler,Animals,,3-5 Years,,,MacMillan,,,
Postman Bear,9781447273424,Flip Books,Tales From Acorn Wood,Julia Donaldson,Axel Scheffler,Animals,,3-5 Years,,,MacMillan,,,
Rabbit's Nap,9781447273417,Flip Books,Tales From Acorn Wood,Julia Donaldson,Axel Scheffler,Animals,,3-5 Years,,,MacMillan,,,
Tales From Acorn Wood: Fox's Socks,9780230753099,Flip Books,Tales From Acorn Wood,Julia Donaldson,Axel Scheffler,Animals,,3-5 Years,,,MacMillan,,,
Tales From Acorn Wood: Hide & Seek Pig,9780230753112,Flip Books,Tales From Acorn Wood,Julia Donaldson,Axel Scheffler,Animals,,3-5 Years,,,MacMillan,,,
Tales From Acorn Wood: Postman Bear,9780230753129,Flip Books,Tales From Acorn Wood,Julia Donaldson,Axel Scheffler,Animals,,3-5 Years,,,MacMillan,,,
Tales From Acorn Wood: Rabbit's Nap,9780230753105,Flip Books,Tales From Acorn Wood,Julia Donaldson,Axel Scheffler,Animals,,3-5 Years,,,MacMillan,,,
It's a Little Baby,9781447251811,Flip Books,,Julia Donaldson,Rebecca Cobb,Animals,Rhymes,0-2 Years,,,MacMillan,,,
Christmas Stable Lift the Flap,9781859858929,Flip Books,,Juliet David,Marie Allen,Animals,Festivals,3-5 Years,,,SPCK Publishing,,,
Snappy First Words in Spanish,9781840116830,Flip Books,,Libby Hamilton,Derek Matthews,Animals,Phonics and Words,0-5 Years,,,Templar Publishing,,,
Busy Baking,9781509808960,Flip Books,,Louise Forshaw,,Good Habits,,0-2 Years,,,MacMillan,,,
Five Little Speckled Frogs,9781785989070,Flip Books,,Make Believe Ideas,,Animals,Rhymes,0-5 Years,,,Make Believe Ideas,,,
Peekaboo Zoo,9781409307228,Flip Books,,Mandy Ross,Kate Merritt,Animals,Farms and Zoo,0-2 Years,,,Penguin Books Ltd,,,
Peppa Pig: Peppa's Zoo Adventure : A push-and-pull adventure,9780241476628,Flip Books,Peppa Pig,Peppa Pig,,Animals,Farms and Zoo,3-5 Years,,,Penguin Books Ltd,,,
Peppa's Perfect Day,9781409300151,Flip Books,Peppa Pig,Peppa Pig,,Animals,,3-5 Years,,,Penguin Books Ltd,,,
Flip Flap - Things That Go,9781909090859,Flip Books,,Philip Dauncey,Fhiona Galloway,Vehicles,Early Learning,0-5 Years,,,Really Decent Books,,,
Dear Zoo,9780230747722,Flip Books,,Rod Campbell,,Animals,Farms and Zoo,0-2 Years,,,MacMillan,,,
Dear Zoo Animal Shapes,9781447282785,Flip Books,,Rod Campbell,,Animals,Farms and Zoo,0-2 Years,,,MacMillan,,,
Farm 123,9780230747753,Flip Books,,Rod Campbell,,Animals,Farms and Zoo,0-2 Years,,,MacMillan,,,
It's Mine!,9781447282419,Flip Books,,Rod Campbell,,Animals,,0-5 Years,,,MacMillan,,,
Lift-the-Flap Animal Book,9780333633397,Flip Books,,Rod Campbell,,Animals,,0-2 Years,,,MacMillan,,,
Oh Dear! : A lift-the-flap book,9781509870325,Flip Books,,Rod Campbell,,Animals,,0-2 Years,,,MacMillan,,,
Oh Dear! (BB),9780333781395,Flip Books,,Rod Campbell,,Animals,,0-2 Years,,,MacMillan,,,
Baby Animals : Turn & Learn,9781849155632,Flip Books,,Roger Priddy,,Animals,Early Learning,0-5 Years,,,Priddy Books,,,
Let'S be... Pirates : Tiny Travellers,9781783412372,Flip Books,,Roger Priddy,,Superheroes and Pirates,,3-5 Years,,,Priddy Books,,,
Waddle!,9780761157205,Flip Books,,Rufus Butler Seder,,Animals,,0-2 Years,,,Workman Publishing,,,
A Trip to Busy Town,9781782445036,Flip Books,,Sally Hopgood,Steph Hinton,Animals,Vehicles,3-5 Years,,,Imagine That Publishing Ltd,,,
Big Tree,9781782445029,Flip Books,,Sally Hopgood,Steph Hinton,Animals,,3-5 Years,,,Imagine That Publishing Ltd,,,
Just Beyond the Waves,9781782445012,Flip Books,,Sally Hopgood,Steph Hinton,Animals,,3-5 Years,,,Imagine That Publishing Ltd,,,
Peekabooks - Monsters,9781909090637,Flip Books,,Sarah Lawrence,,Dinosaurs and Dragons,,0-5 Years,,,Really Decent Books,,,
Dial a Picture: Noah's Ark : Dial a Picture Noahs Ark,9781860249396,Flip Books,,Su Box,Jacqueline East,Animals,,3-5 Years,,,Authentic Media,,,
How Many Cupcakes?,9781840880793,Flip Books,,Susan Hood,,Animals,Early Learning,0-2 Years,Cathy Couri,,Reader's Digest Children's Books Ltd,,,
Pull-the-Tab Tell the Time!,9781782448914,Flip Books,,Susan Mayes,,Early Learning,,3-5 Years,,,Imagine That Publishing Ltd,,,
The Little Fish Who Cried Shark!,9781845063993,Flip Books,,Trish Phillips,,Animals,,0-5 Years,,,Little Tiger Press Group,,,
Five Little Dinosaurs (Petite Boutique),9781786921284,Flip Books,,Veronique Petit,,Animals,Dinosaurs and Dragons,0-5 Years,,,Make Believe Ideas,,,
Awesome Ants,9781740473200,Flip Books,,Wendy McLean,Dee Texidor,Early Learning,Rhymes,0-5 Years,,,Book Company Publishing,,,
Bing's First 100 Words : A Lift-the-Flap Book,9780008298364,Flip Books,,,,Phonics and Words,Early Learning,0-5 Years,,,HarperCollins Publishers,,,
Dinky Dino,9780857349903,Flip Books,,,,Animals,Dinosaurs and Dragons,3-5 Years,,,Bonnier Books Ltd,,,
First Words,9781405481779,Flip Books,,,,Animals,Cartoons,3-5 Years,,,Parragon,,,
"Five Tiddly, Widdly Tadpoles",9781848572300,Flip Books,,,Debbie Tarbett,Animals,Early Learning,0-2 Years,,,Little Tiger Press Group,,,
Little Kitten,9781784404963,Flip Books,,,,Animals,,3-5 Years,,,Bonnier Books Ltd,,,
Peekaboo Baby,9781846460326,Flip Books,,,Kate Merritt,Rhymes,,0-2 Years,,,Penguin Books Ltd,,,
Princess,9781783433186,Flip Books,,,,Princess and Fairies,,0-5 Years,,,Bonnier Books Ltd,,,
Reindeer,9781785577000,Flip Books,,,,Animals,Festivals,3-5 Years,,,Bonnier Books Ltd,,,
Snowman,9781785577017,Flip Books,,,,Festivals,Rhymes,3-5 Years,,,Bonnier Books Ltd,,,
Super Slide 123,9781741219197,Flip Books,,,,Early Learning,,0-5 Years,,,Hinkler Books,,,
The Butterfly Hunt,9781405229791,Flip Books,,,,Animals,,3-5 Years,,,Egmont UK Ltd,,,
Whose Feet?,9781842505496,Flip Books,,,,Animals,,3-5 Years,,,Not known,,,
The Adventures of Tintin: Danger at Sea : Colour First Reader,9780857510747,Hard Cover Books,,Anonymous,,Cartoons,,3-8 Years,,,Penguin Books Ltd,,,
Disney Frozen 2,9781838526283,Hard Cover Books,,Autumn Publishing,,Princess and Fairies,Cartoons,3-8 Years,,,Bonnier Books Ltd,,,
Angry Birds Star Wars Reader Darth Swindle's Secret,9781409343981,Hard Cover Books,,DK,,Animals,Cartoons,3-8 Years,,,Dorling Kindersley Ltd,,,
Cars The Essential Guide,9781405347426,Hard Cover Books,,DK,,Vehicles,Cartoons,3-8 Years,,,Dorling Kindersley Ltd,,,
Disney Aladdin,9781789052367,Hard Cover Books,,Igloo Books,,Cartoons,,3-8 Years,,,Bonnier Books Ltd,,,
Disney - The Jungle Book,9781407589152,Hard Cover Books,,Parragon Books Ltd,,Animals,Cartoons,3-8 Years,,,Parragon,,,
Disney Brave Classic Storybook,9781445447773,Hard Cover Books,,Parragon Books Ltd,,Cartoons,,3-8 Years,,,Parragon,,,
Disney Classics - Winnie the Pooh the Movie,9781445409955,Hard Cover Books,,Parragon Books Ltd,,Animals,Cartoons,3-8 Years,,,Parragon,,,
