isbn,Series,name,Rating,Review,Type of Book,Age Level,Grade Level,Lexile Score,Number of Pages,Language,Size,Publisher,Publication Date,ISBN 10,ISBN 13,Author ,Author 2,Author 3,Main Image,Image 2,Image 3
9780316199988,,The Adventures of Beekle: The Unimaginary Friend (Caldecott Medal Winner),4.7,"1,303",Hardcover,"2 - 7 years, from customers",Preschool - 3,AD480L,40 pages,English,8.88 x 0.5 x 11.38 inches,"Little, Brown Books for Young Readers","April 8, 2014",316199982,978-0316199988,Dan Santat,Not known,Not known,https://m.media-amazon.com/images/I/51BzWGHRhGL._US218_.jpg,https://m.media-amazon.com/images/I/618slN+srCL._US218_.jpg,https://m.media-amazon.com/images/I/41YDD3kJ07L._US218_.jpg
9781481469098,,Not Quite Narwhal (Not Quite Narwhal and Friends),4.9,"1,767",Hardcover,"3 - 5 years, from customers",Preschool - 3,AD590L,40 pages,English,9 x 0.4 x 9 inches,Simon & Schuster Books for Young Readers,"February 14, 2017",1481469096,978-1481469098,"Jessie Sima(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51aoBcKuQZL._US218_.jpg,https://m.media-amazon.com/images/I/41OtBkoKGjL._US218_.jpg,https://m.media-amazon.com/images/I/41YiZX7k3gL._US218_.jpg
9781844281695,,The Dot,4.8,"5,159",Not known,"4 - 7 years, from customers",Not known,Not known,Not known,English,7.87 x 0.2 x 9.84 inches,Walker Childrens Paperbacks,"October 4, 2004",9781844281695,978-1844281695,Peter H. Reynolds,Not known,Not known,https://m.media-amazon.com/images/I/51-Mioa1CDS._US218_.jpg,https://m.media-amazon.com/images/I/519jKmF1zbL._US218_.jpg,https://m.media-amazon.com/images/I/41YTvQos7oL._US218_.jpg
9781492674313,,P Is for Pterodactyl: The Worst Alphabet Book Ever,4.8,"9,711",Hardcover,"3 - 10 years, from customers",Preschool - 3,AD710L,40 pages,English,11.25 x 0.35 x 8.75 inches,Sourcebooks Explore,"November 13, 2018",1492674311,978-1492674313,Raj Haldar,Chris Carpenter,Maria Beddia,https://m.media-amazon.com/images/I/51Q+29FcphL._US218_.jpg,https://m.media-amazon.com/images/I/512dJ2DrVlL._US218_.jpg,https://m.media-amazon.com/images/I/51-sinaghpL._US218_.jpg
9781595620279,,How Full Is Your Bucket? For Kids,4.9,"2,669",Hardcover,"3 - 7 years, from customers",Preschool - 4,AD560L,32 pages,English,10.5 x 0.6 x 10.5 inches,Gallup Press,"April 1, 2009",1595620273,978-1595620279,Tom Rath,Mary Reckmeyer,Maurie J. Manning,https://m.media-amazon.com/images/I/51LInrz+B3L._US218_.jpg,https://m.media-amazon.com/images/I/31ZIlhvRFoL._US218_.jpg,https://m.media-amazon.com/images/I/510enSIDP9L._US218_.jpg
9781409563945,,Look Inside Our World,4.9,"2,711",Hardcover,9 - 12 years,Not known,Not known,Not known,English,7.95 x 0.75 x 8.86 inches,USBORNE CAT ANG,"January 8, 2016",1409563944,978-1409563945,Emily Bone,Marianna Oklejak,Not known,https://m.media-amazon.com/images/I/61DcJEis8GL._US218_.jpg,https://m.media-amazon.com/images/I/519gaiOTnXL._US218_.jpg,https://m.media-amazon.com/images/I/5137HJ6WwyL._US218_.jpg
9780316475112,,Little Leaders: Bold Women in Black History (Vashti Harrison),4.9,"12,128",Hardcover,"4 - 9 years, from customers",3 - 7,1050L,96 pages,English,7.55 x 0.45 x 9.05 inches,"Little, Brown Books for Young Readers","December 5, 2017",316475114,978-0316475112,Vashti Harrison,Not known,Not known,https://m.media-amazon.com/images/I/41qS2xBeBhL._US218_.jpg,https://m.media-amazon.com/images/I/51Hiz0MciBL._US218_.jpg,https://m.media-amazon.com/images/I/515+-anvopL._US218_.jpg
9780316362382,,Hello Lighthouse (Caldecott Medal Winner),4.8,"1,579",Hardcover,"2 - 6 years, from customers",Preschool - 3,AD510L,48 pages,English,7.5 x 0.5 x 12.06 inches,"Little, Brown Books for Young Readers","April 10, 2018",316362387,978-0316362382,Sophie Blackall,Not known,Not known,https://m.media-amazon.com/images/I/513nbncdXiL._US218_.jpg,https://m.media-amazon.com/images/I/51n-Z5Di-OL._US218_.jpg,https://m.media-amazon.com/images/I/517agfyqe-L._US218_.jpg
9780688040741,,A Chair for My Mother: A Caldecott Honor Award Winner (Reading Rainbow Books),4.8,"1,140",Paperback,"3+ years, from customers",Kindergarten - 3,Not known,32 pages,English,8.25 x 0.25 x 10.5 inches,Greenwillow Books,"January 23, 2007",688040748,978-0688040741,"Vera B Williams(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51wFT1Xb7nL._US218_.jpg,https://m.media-amazon.com/images/I/51HwfhNY2ZL._US218_.jpg,https://m.media-amazon.com/images/I/517HELfmWNL._US218_.jpg
9781492670025,,The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,4.8,"21,098",Hardcover,"8 - 11 years, from customers",4 - 8,IG960L,208 pages,English,7.25 x 0.77 x 9.25 inches,Sourcebooks Explore,"October 16, 2018",1492670022,978-1492670025,America’s Test Kitchen Kids,Not known,Not known,https://m.media-amazon.com/images/I/51lBzXjtMeL._US218_.jpg,https://m.media-amazon.com/images/I/51RWy3O0x3L._US218_.jpg,https://m.media-amazon.com/images/I/517uuBsQGTL._US218_.jpg
9780241345849,,Look Up!,4.8,"2,416",Paperback,2 - 5 years,Not known,Not known,32 pages,English,9.17 x 0.16 x 11.26 inches,Puffin,"June 13, 2019",241345847,978-0241345849,Nathan Bryon,Not known,Not known,https://m.media-amazon.com/images/I/513xNt-NqSL._US218_.jpg,https://m.media-amazon.com/images/I/41svj4jkHDL._US218_.jpg,https://m.media-amazon.com/images/I/51av+nHIHPL._US218_.jpg
9781409523383,,Space (Look Inside) - UK English,4.8,"3,415",Hardcover,Not known,Not known,Not known,Not known,English,8.74 x 7.8 x 0.83 inches,Usborne,"January 1, 2012",1409523381,978-1409523383,Rob Lloyd Jones,Not known,Not known,https://m.media-amazon.com/images/I/5156tKFAdyL._US218_.jpg,https://m.media-amazon.com/images/I/51WvSQ-8O+L._US218_.jpg,https://m.media-amazon.com/images/I/51bfvCJD2rL._US218_.jpg
9781452150185,,"This Is How We Do It: One Day in the Lives of Seven Kids from around the World (Easy Reader Books, Children Around the World Books, Preschool Prep Books)",4.8,"3,093",Hardcover,"3 - 7 years, from customers",Kindergarten - 3,NC620L,52 pages,English,9.4 x 0.6 x 12.35 inches,Chronicle Books,"May 2, 2017",1452150184,978-1452150185,Matt Lamothe,Not known,Not known,https://m.media-amazon.com/images/I/51QXT7TsydL._US218_.jpg,https://m.media-amazon.com/images/I/51zu+XpXpCL._US218_.jpg,https://m.media-amazon.com/images/I/51BxDOBucEL._US218_.jpg
9781509824083,,Darkest Dark,4.8,"1,212",Hardcover,"4 - 7 years, from customers",Not known,Not known,Not known,English,11.02 x 0.39 x 10.91 inches,Macmillan Children's Books,Not known,9781509824083,978-1509824083,Not known,Not known,Not known,https://m.media-amazon.com/images/I/510m2FQWb-L._US218_.jpg,https://m.media-amazon.com/images/I/51pnvmzsEyL._US218_.jpg,https://m.media-amazon.com/images/I/51D+HsPqB7L._US218_.jpg
9781405294782,,The Naughtiest Unicorn (The Naughtiest Unicorn series),4.7,"2,221",Paperback,6 - 8 years,Not known,Not known,160 pages,English,5.08 x 0.55 x 7.8 inches,Egmont,"May 2, 2019",1405294787,978-1405294782,Pip Bird,Not known,Not known,https://m.media-amazon.com/images/I/51DtskXRmeL._US218_.jpg,https://m.media-amazon.com/images/I/617574dV3JL._US218_.jpg,https://m.media-amazon.com/images/I/51FCoxkOAxL._US218_.jpg
9780007323128,,"Lion, the Witch and the Wardrobe",4.7,"18,298",Paperback,"6 - 11 years, from customers",Not known,Not known,Not known,English,7.8 x 0.51 x 5.08 inches,HarperCollins Children's Books,"January 1, 2009",9780007323128,978-0007323128,CS Lewis C. S. Lewis,Not known,Not known,https://m.media-amazon.com/images/I/51QLjDXCe-L._US218_.jpg,https://m.media-amazon.com/images/I/51Epur8sDsL._US218_.jpg,https://m.media-amazon.com/images/I/51Fe1kHRGNL._US218_.jpg
9781526629807,,The World Made a Rainbow,4.8,"1,409",Paperback,Baby - 5 years,Not known,Not known,Not known,English,10.75 x 0.31 x 9.65 inches,Bloomsbury Children's Books,"September 17, 2020",1526629801,978-1526629807,Michelle Robinson,Not known,Not known,https://m.media-amazon.com/images/I/51tE+Zm0YQL._US218_.jpg,https://m.media-amazon.com/images/I/419Y9oXW7kL._US218_.jpg,https://m.media-amazon.com/images/I/51gtnp074BL._US218_.jpg
9780744531671,,Owl Babies,4.9,"4,497",Paperback,"1 - 4 years, from customers",Not known,Not known,Not known,English,10.28 x 0.12 x 8.35 inches,WALKER BOOKS,"October 16, 2012",744531675,978-0744531671,Waddell  Martin,Not known,Not known,https://m.media-amazon.com/images/I/61xd2cBIhbL._US218_.jpg,https://m.media-amazon.com/images/I/61kgmjq4MgL._US218_.jpg,https://m.media-amazon.com/images/I/51HVfXwbWWL._US218_.jpg
9781607749769,,Women in Science: 50 Fearless Pioneers Who Changed the World,4.8,"6,324",Hardcover,"7+ years, from customers",5 - 12,990L,128 pages,English,7.8 x 0.6 x 9.3 inches,Ten Speed Press,"July 26, 2016",1607749769,978-1607749769,Rachel Ignotofsky,Not known,Not known,https://m.media-amazon.com/images/I/51i5F6ZgOiL._US218_.jpg,https://m.media-amazon.com/images/I/51TJ+TXpRvL._US218_.jpg,https://m.media-amazon.com/images/I/51Ls2CJREUL._US218_.jpg
9781492642046,,"Shark Lady: The True Story of How Eugenie Clark Became the Ocean's Most Fearless Scientist (Women in Science Books, Marine Biology for Kids, Shark Gifts)",4.8,"2,063",Hardcover,"3 - 8 years, from customers",Kindergarten - 4,730L,40 pages,English,10.25 x 0.35 x 10.25 inches,Sourcebooks Explore,"June 6, 2017",1492642045,978-1492642046,Jess Keating,Marta Álvarez Miguéns,Not known,https://m.media-amazon.com/images/I/61UfUorRkEL._US218_.jpg,https://m.media-amazon.com/images/I/419AMlzh1FL._US218_.jpg,https://m.media-amazon.com/images/I/51MrcrexfyL._US218_.jpg
9781883672546,,"Hey, Little Ant",4.8,"1,138",Hardcover,"3 - 7 years, from customers",Preschool - 2,NP,32 pages,English,11.06 x 0.35 x 8.81 inches,Tricycle Press,"July 1, 1998",9781883672546,978-1883672546,Phillip M. Hoose,Hannah Hoose,Debbie Tilley,https://m.media-amazon.com/images/I/518l9jpil4L._US218_.jpg,https://m.media-amazon.com/images/I/51sE8qt2N0L._US218_.jpg,https://m.media-amazon.com/images/I/51N2d5wsfEL._US218_.jpg
9780007348695,,The Cat In The Hat,4.9,"20,372",Paperback,"2 - 6 years, from customers",Not known,Not known,64 pages,English,7.99 x 0.24 x 10.98 inches,HARPER COLLINS,"December 1, 2009",000734869X,978-0007348695,Seuss.,Not known,Not known,https://m.media-amazon.com/images/I/51SFsFp+2ZL._US218_.jpg,https://m.media-amazon.com/images/I/519IHu2koZL._US218_.jpg,https://m.media-amazon.com/images/I/51rUt05eKeL._US218_.jpg
9781787411647,,Animalium,4.8,"1,495",Hardcover,"3 - 9 years, from customers",Not known,Not known,Not known,English,10.98 x 0.67 x 14.72 inches,Templar Publishing,Not known,1787411648,978-1787411647,Jenny Broom,Not known,Not known,https://m.media-amazon.com/images/I/51W5AtKthiL._US218_.jpg,https://m.media-amazon.com/images/I/51ad-5OrEkL._US218_.jpg,https://m.media-amazon.com/images/I/51uURfU4QmL._US218_.jpg
9781452126999,,I Wish You More,4.8,"8,671",Hardcover,"2 - 8 years, from customers",Kindergarten - 3,AD280L,40 pages,English,8.5 x 0.5 x 8.5 inches,Chronicle Books,"March 31, 2015",1452126992,978-1452126999,Amy Krouse Rosenthal,Tom Lichtenheld,Not known,https://m.media-amazon.com/images/I/51fiK9n7wLL._US218_.jpg,https://m.media-amazon.com/images/I/51IZo3RDg7L._US218_.jpg,https://m.media-amazon.com/images/I/51WHRezW4pL._US218_.jpg
9780062915627,,Eyes That Kiss in the Corners,4.8,"3,586",Hardcover,"2 - 7 years, from customers",Preschool - 3,Not known,40 pages,English,9.25 x 0.5 x 11.25 inches,HarperCollins,"January 5, 2021",62915622,978-0062915627,Joanna Ho,Dung Ho,Not known,https://m.media-amazon.com/images/I/518cC86Q+CS._US218_.jpg,https://m.media-amazon.com/images/I/519zHcOm7DS._US218_.jpg,https://m.media-amazon.com/images/I/51wpb-y0vNL._US218_.jpg
9780996099936,,Have You Filled a Bucket Today?: A Guide to Daily Happiness for Kids (Bucketfilling Books),4.8,"8,458",Paperback,"3 - 6 years, from customers",Preschool - 4,650L,32 pages,English,10.75 x 0.1 x 8.25 inches,Bucket Fillers,"October 1, 2015",099609993X,978-0996099936,Carol McCloud,David Messing,Not known,https://m.media-amazon.com/images/I/518SfUs3CKL._US218_.jpg,https://m.media-amazon.com/images/I/51sB58V8MlL._US218_.jpg,https://m.media-amazon.com/images/I/51WRxOlhhAL._US218_.jpg
9781419711329,,"Diary of a Wimpy Kid: Hard Luck, Book 8",4.6,"26,249",Hardcover,"8 - 11 years, from customers",3 - 7,1020L,224 pages,English,5.75 x 1 x 8.5 inches,Harry N. Abrams,"November 5, 2013",1419711326,978-1419711329,Jeff Kinney,Not known,Not known,https://m.media-amazon.com/images/I/51WVlYqD1RL._US218_.jpg,https://m.media-amazon.com/images/I/51rG3vPsbpL._US218_.jpg,https://m.media-amazon.com/images/I/51ybCx0N9KL._US218_.jpg
9781454913948,,Even Superheroes Have Bad Days (Superheroes Are Just Like Us),4.8,"1,805",Hardcover,"3 - 6 years, from customers",Preschool - 4,AD640L,40 pages,English,8.75 x 0.25 x 11 inches,Union Square Kids,"September 6, 2016",1454913940,978-1454913948,Shelly Becker,Eda Kaban,Not known,https://m.media-amazon.com/images/I/51ZASUSuPWL._US218_.jpg,https://m.media-amazon.com/images/I/51040+KGU2L._US218_.jpg,https://m.media-amazon.com/images/I/51yCas7D1gL._US218_.jpg
9781465468482,,My Encyclopedia of Very Important Dinosaurs: Discover more than 80 Prehistoric Creatures (My Very Important Encyclopedias),4.9,"3,989",Hardcover,"3 - 6 years, from customers",Kindergarten - 4,NC930L,224 pages,English,8.75 x 1 x 10.38 inches,DK Children,"September 11, 2018",146546848X,978-1465468482,DK,Not known,Not known,https://m.media-amazon.com/images/I/51VDYsBtUFL._US218_.jpg,https://m.media-amazon.com/images/I/51Q-9BoUw1L._US218_.jpg,https://m.media-amazon.com/images/I/51zcdsrF8jL._US218_.jpg
9781492669739,,How to Catch a Unicorn,4.8,"34,327",Hardcover,"3 - 6 years, from customers",Kindergarten - 6,570L,40 pages,English,8.25 x 0.35 x 8.25 inches,Sourcebooks Wonderland,"March 5, 2019",1492669733,978-1492669739,Adam Wallace,Andy Elkerton,Not known,https://m.media-amazon.com/images/I/51Fi7Xu6ENL._US218_.jpg,https://m.media-amazon.com/images/I/5176pYrIpmL._US218_.jpg,https://m.media-amazon.com/images/I/51ZOgb+z-zL._US218_.jpg
9780062417107,,Kitten's First Full Moon Board Book: A Caldecott Award Winner,4.8,"1,666",Board book,"1 - 5 years, from customers",Preschool and up,450L,34 pages,English,7.2 x 0.9 x 7.1 inches,Greenwillow Books,"September 15, 2015",006241710X,978-0062417107,"Kevin Henkes(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51ywxJPktTL._US218_.jpg,https://m.media-amazon.com/images/I/510cXVCxG6L._US218_.jpg,https://m.media-amazon.com/images/I/61jh6UwFEDL._US218_.jpg
9781925973143,,I Wish You Happiness (The Unconditional Love Series),4.8,"1,287",Paperback,"Baby - 6 years, from customers",Not known,Not known,39 pages,English,8.5 x 0.1 x 8.5 inches,Not known,"November 18, 2020",192597314X,978-1925973143,Michael Wong,"Ann Baratashvili,",David Miles,https://m.media-amazon.com/images/I/51pWfuM1kTL._US218_.jpg,https://m.media-amazon.com/images/I/218Xl-0Q0iL._US218_.jpg,
9780062667120,,I Am Enough,4.9,"11,790",Hardcover,"3 - 7 years, from customers",Preschool - 3,Not known,32 pages,English,10.1 x 10.1 x 0.6 inches,Balzer + Bray,"March 6, 2018",62667122,978-0062667120,Grace Byers,Keturah A. Bobo,Not known,https://m.media-amazon.com/images/I/51+SVDhJwML._US218_.jpg,https://m.media-amazon.com/images/I/31+in1gKDHL._US218_.jpg,
9781534421691,,You Matter,4.8,"1,753",Hardcover,"2 - 6 years, from customers",Preschool - 3,AD310L,40 pages,English,9 x 0.4 x 11 inches,Atheneum Books for Young Readers,"June 2, 2020",1534421696,978-1534421691,"Christian Robinson(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51BGssXqt1L._US218_.jpg,https://m.media-amazon.com/images/I/31+N90wSRsL._US218_.jpg,
9780061123221,,Not a Box,4.8,"1,670",Hardcover,"2 - 5 years, from customers",Not known,Not known,32 pages,English,9.43 x 9.09 x 0.36 inches,HarperCollins,"December 12, 2006",61123226,978-0061123221,"Antoinette Portis(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/41qDoHltFlL._US218_.jpg,https://m.media-amazon.com/images/I/312y7IjNUvL._US218_.jpg,
9781408301982,,Giraffes Can't Dance,Not known,Not known,Hardcover,"2 - 6 years, from customers",Not known,Not known,Not known,English,6.89 x 2.8 x 8.39 inches,Orchard Books,"January 1, 2012",1408301989,978-1408301982,Giles Andreae,Not known,Not known,https://m.media-amazon.com/images/I/51e94vOiXVL._US218_.jpg,https://m.media-amazon.com/images/I/3151bSq1FWL._US218_.jpg,
9780374346485,,Love Monster and the Perfect Present,4.9,377,Hardcover,2 - 4 years,Preschool - Kindergarten,AD550L,32 pages,English,10.75 x 0.5 x 10.6 inches,"Farrar, Straus and Giroux (BYR)","October 14, 2014",374346488,978-0374346485,Rachel Bright,Not known,Not known,https://m.media-amazon.com/images/I/51oFbu9ssfL._US218_.jpg,https://m.media-amazon.com/images/I/319Cr6+i5RL._US218_.jpg,
9780064434164,,"Goodnight Moon / Buenas Noches, Luna (Spanish Edition)",4.8,"3,295",Paperback,"1 - 3 years, from customers",Not known,NP0L,32 pages,Spanish,10 x 0.12 x 8.5 inches,HarperCollins Espanol,"April 11, 2006",64434168,978-0064434164,Margaret Wise Brown,Clement Hurd,Not known,https://m.media-amazon.com/images/I/61jXPwTvL5L._US218_.jpg,https://m.media-amazon.com/images/I/31cxCqHT2OL._US218_.jpg,
9780763693558,,Alma and How She Got Her Name,4.9,"1,144",Hardcover,"3 - 8 years, from customers",Preschool - 3,490L,32 pages,English,9.81 x 0.38 x 9.38 inches,Candlewick,"April 10, 2018",763693553,978-0763693558,"Juana Martinez-Neal(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/41xOSoojkDL._US218_.jpg,https://m.media-amazon.com/images/I/31cZAoLCKfL._US218_.jpg,
9780439845007,,"Bob Books - Set 1: Beginning Readers Box Set | Phonics, Ages 4 and up, Kindergarten (Stage 1: Starting to Read)",4.8,"20,982",Paperback,"3 - 6 years, from customers",Preschool - 1,Not known,16 pages,English,5.6 x 1.7 x 5.7 inches,Scholastic,"May 1, 2006",439845009,978-0439845007,Bobby Lynn Maslen,John R. Maslen,Not known,https://m.media-amazon.com/images/I/51Eq4-sntyL._US218_.jpg,https://m.media-amazon.com/images/I/31Er2KTTRpL._US218_.jpg,
9780064430227,,Harold and the Purple Crayon (Purple Crayon Books),4.8,"6,483",Paperback,"2 - 5 years, from customers",Preschool - 3,440L,64 pages,English,6 x 0.25 x 7.5 inches,HarperCollins,"September 29, 2015",9780064430227,978-0064430227,"Crockett Johnson(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/51YSTWOrdDL._US218_.jpg,https://m.media-amazon.com/images/I/31fNC+arjmL._US218_.jpg,
9780307980403,,Stallion by Starlight (Magic Tree House (R) Merlin Mission),4.7,583,Hardcover,"6 - 8 years, from customers",2 - 5,500L,128 pages,English,5.88 x 0.63 x 8.56 inches,Random House Books for Young Readers,"March 26, 2013",307980405,978-0307980403,Mary Pope Osborne,Sal Murdocca,Not known,https://m.media-amazon.com/images/I/51lRPQ98gZL._US218_.jpg,https://m.media-amazon.com/images/I/31FNmem9kZL._US218_.jpg,
9780375810916,,A Color of His Own,4.8,"2,593",Board book,"1 - 4 years, from customers",Not known,640L,30 pages,English,6.81 x 0.7 x 5.38 inches,Random House,"January 1, 2000",375810919,978-0375810916,"Leo Lionni(Author, Illustrator)",Not known,Not known,https://m.media-amazon.com/images/I/516VSvbEDHL._US218_.jpg,https://m.media-amazon.com/images/I/31GRrbfWuhL._US218_.jpg,
9780141502526,,Pocket Puffin Each Peach Pear Plum,4.8,"4,490",Paperback,"1 - 3 years, from customers",Not known,Not known,32 pages,English,5.6 x 0.15 x 4.19 inches,Puffin,"November 25, 2008",141502525,978-0141502526,Janet Ahlberg,Allan Ahlberg,Not known,https://m.media-amazon.com/images/I/61-bN8pl9jL._US218_.jpg,https://m.media-amazon.com/images/I/31I2Ka7ByQL._US218_.jpg,
9781582464503,,The Invisible Boy,4.8,"4,014",Hardcover,"5 - 8 years, from customers",1 - 4,AD680L,40 pages,English,7.76 x 5.08 x 0.17 inches,Knopf Books for Young Readers,"October 8, 2013",1582464502,978-1582464503,Trudy Ludwig,Patrice Barton,Not known,https://m.media-amazon.com/images/I/51Ib1uey6CL._US218_.jpg,https://m.media-amazon.com/images/I/31i8H50fLBL._US218_.jpg,
9781596434028,,A Sick Day for Amos McGee,4.9,"1,245",Hardcover,"2 - 5 years, from customers",Preschool - 1,AD760L,32 pages,English,9.65 x 0.4 x 8.85 inches,Roaring Brook Press,"May 25, 2010",1596434023,978-1596434028,Philip C. Stead,Erin E. Stead,Not known,https://m.media-amazon.com/images/I/510etdPlnTL._US218_.jpg,https://m.media-amazon.com/images/I/31IThU5ifsL._US218_.jpg,
9780399246531,,The Day You Begin,4.9,"7,280",Hardcover,"5 - 8 years, from customers",Kindergarten - 3,AD980L,32 pages,English,9.33 x 0.4 x 10.76 inches,Nancy Paulsen Books,"August 28, 2018",399246533,978-0399246531,Jacqueline Woodson,Rafael López,Not known,https://m.media-amazon.com/images/I/61BV6jUe6aL._US218_.jpg,https://m.media-amazon.com/images/I/31jHwbylOLL._US218_.jpg,
9781554512119,,The Paper Bag Princess (Board Book Abridged),4.5,"5,987",Board book,"2 - 6 years, from customers",Not known,AD550L,28 pages,English,6 x 0.63 x 6 inches,Annick Press,"September 1, 2009",1554512115,978-1554512119,Robert Munsch,Michael Martchenko,Not known,https://m.media-amazon.com/images/I/61e6IkiYagL._US218_.jpg,https://m.media-amazon.com/images/I/31KpPHVQgIL._US218_.jpg,
9781847807182,,The Bear and the Piano,4.8,"1,512",Paperback,"2 - 5 years, from customers",Not known,Not known,Not known,English,8.7 x 0.24 x 11.77 inches,Lincoln Childrens Books,"January 1, 2016",1847807186,978-1847807182,David Litchfield,Not known,Not known,https://m.media-amazon.com/images/I/51QTcyk+B+L._US218_.jpg,https://m.media-amazon.com/images/I/31OuXZj+CLL._US218_.jpg,
